Name,Typ,land,Branche,Stage,Linkedin,Twitter
JIM BREYER,VC - Small fund,United States,"Marketplace, Finance, Social, Healthcare, Mobile, Consumer, Enterprise","Seed, Series A",https://www.linkedin.com/in/jim-breyer-361900b2/,https://twitter.com/jimihendrixlive
Johan Gjesdahl,VC - Small fund,Norway,"Security, Mobile, Life Sci., Healthcare, Enterprise","Seed, Series A",https://www.linkedin.com/in/johangjesdahl/,
Jonas Wenke,VC - Small fund,Germany,"Social, SaaS, Finance, Real Estate, Mobile, E-Commerce, Consumer","Seed, Series A",https://www.linkedin.com/in/jwenke/,https://twitter.com/JonasWenke
JULIE SUNDERLAND,VC - Small fund,United States,"AI/ML, Media, Security, Healthcare, Big Data, Life Sci., Enterprise","Seed, Series A",,
Kevin Bitterman,VC - Small fund,United States,"Enterprise, Healthcare, Social, Mobile, Life Sci.","Seed, Series A",https://www.linkedin.com/in/kbitterman/,https://twitter.com/KevinBitterman
Kjartan Rist,VC - Small fund,United Kingdom,"Retail, Big Data, E-Commerce, Delivery, AI/ML, Consumer","Seed, Series A",https://www.linkedin.com/in/kjartan-rist-7503b/,
Kwan Yoon,VC - Small fund,Asia,"Social, Media, Enterprise, E-Commerce, Mobile, Consumer","Seed, Series A",,
Laurel Bowden,VC - Small fund,United Kingdom,"E-Commerce, Finance, Big Data, Mobile, Social, Security, SaaS","Seed, Series A",https://www.linkedin.com/in/laurel-bowden-3a869b/,
Lauren Kolodny,VC - Small fund,United States,"Healthcare, Big Data, Finance, Social, AI/ML, Security, SaaS","Seed, Series A",https://www.linkedin.com/in/laurenkolodny/,https://twitter.com/laurenkolodny
Marc Bhargava,VC - Small fund,United States,"Marketplace, SaaS, Social, Life Sci., Mobile, E-Commerce, Healthcare","Seed, Series A",https://www.linkedin.com/in/marc-bhargava-55030311/,
Marcos Toledo,VC - Small fund,Brazil,"Hardware, Security, Enterprise","Seed, Series A",https://www.linkedin.com/in/marcost1/,
Mariam Barar,VC - Small fund,United States,"Healthcare, AI/ML, Finance, Enterprise, Mobile, Big Data, SaaS","Seed, Series A",https://www.linkedin.com/in/mariambarar/,
Mark Skapinker,VC - Small fund,Canada,"Enterprise, Social, Big Data, Sports, Mobile","Seed, Series A",https://www.linkedin.com/in/markskapinker/,https://twitter.com/MarkSkapinker
Matt Bornstein,VC - Small fund,United States,"Security, Social, AI/ML, E-Commerce, Finance, SaaS, Enterprise","Seed, Series A",https://www.linkedin.com/in/mattbornstein/,
Matt Cohler,VC - Small fund,United States,"SaaS, Social, Mobile, Media, Enterprise","Seed, Series A",https://www.linkedin.com/in/mattcohler/,https://twitter.com/mattcohler
Maxwell Krohn,VC - Small fund,United States,"AI/ML, Enterprise, Energy, Big Data, Consumer, Mobile, Finance","Seed, Series A",https://www.linkedin.com/in/maxwell-krohn-9b60a92/,https://twitter.com/maxtaco
Michael Brown,VC - Small fund,United States,"Marketplace, SaaS, AI/ML, Big Data, Enterprise, Mobile","Seed, Series A",https://www.linkedin.com/in/west-indies-piracy-squadron/,
Michael Dempsey,VC - Small fund,United States,"Big Data, Social, E-Commerce, Mobile, Retail, SaaS, Enterprise","Seed, Series A",https://www.linkedin.com/in/michaelhdempsey/,https://twitter.com/mhdempsey
Michael Eisenberg,VC - Small fund,Israel,"SaaS, E-Commerce, Enterprise, Mobile, Big Data, AI/ML, Finance","Seed, Series A",https://www.linkedin.com/in/mieisenberg/,https://twitter.com/mikeeisenberg
"Michael Liang, PhD",VC - Small fund,United States,"Mobile, Big Data, Enterprise, Healthcare, Life Sci.","Seed, Series A",https://www.linkedin.com/in/michael-liang-32590932/,
Mitra Broomand-Huber,VC - Small fund,United States,"Transportation, E-Commerce, AI/ML, Automotive, Marketplace, Energy, Enterprise","Seed, Series A",https://www.linkedin.com/in/mbrooman/,
Nader Sabbaghian,VC - Small fund,France,"Robotics, Finance, AI/ML, Mobile, E-Commerce, Retail, Consumer","Seed, Series A",https://www.linkedin.com/in/nadersabbaghian/,
Nikhil Raj,VC - Small fund,United States,"SaaS, Retail, Enterprise, Finance, E-Commerce, Mobile, Consumer","Seed, Series A",https://www.linkedin.com/in/nikhilvraj/,
Nilanjana Bhowmik,VC - Small fund,United States,"Big Data, AI/ML, Social","Seed, Series A",https://www.linkedin.com/in/nilanjanabhowmik/,
PAUL BRICAULT,VC - Small fund,United States,"Media, Consumer, SaaS, Social, Healthcare, E-Commerce, Enterprise","Seed, Series A",https://www.linkedin.com/in/paulbricault/,https://twitter.com/pbricault
Pauline Andriejanssen,VC - Small fund,Singapore,"Finance, Mobile, Automotive, E-Commerce, Big Data, Healthcare, SaaS","Seed, Series A",https://www.linkedin.com/in/pauline-andriejanssen/,
Ray Tonsing,VC - Small fund,United States,"Blockchain, AI/ML, Big Data, Mobile, SaaS, Enterprise, Finance","Seed, Series A",https://www.linkedin.com/in/tonsing/,
Rebecca Lynn,VC - Small fund,United States,"Finance, Big Data, Marketplace, SaaS, Healthcare, Enterprise, Mobile","Seed, Series A",https://www.linkedin.com/in/lynnra/,
Robert Garber,VC - Small fund,United States,"Education, Life Sci., Mobile, Healthcare","Seed, Series A",https://www.linkedin.com/in/rgarber/,
Roger Lee,VC - Small fund,United States,"E-Commerce, Big Data, SaaS, Enterprise, Mobile, Consumer","Seed, Series A",https://www.linkedin.com/in/rogerleevc/,http://www.twitter.com/rogerleevc
Ruth Foxe Blader,VC - Small fund,France,"Mobile, AI/ML, Healthcare, Big Data, Energy, Enterprise, Finance","Seed, Series A",https://www.linkedin.com/in/ruthblader/,https://twitter.com/Foxe_News
Ryan Schuler,VC - Small fund,,"Life Sci., Healthcare, Enterprise","Seed, Series A",,
Samiron Ray,VC - Small fund,United States,"Enterprise, Big Data, Hardware, Robotics, AI/ML","Seed, Series A",https://www.linkedin.com/in/samironray/,
Sarah Catanzaro,VC - Small fund,United States,"SaaS, AI/ML, Security, Enterprise, Big Data","Seed, Series A",https://www.linkedin.com/in/sarah-catanzaro-9770b98/,https://twitter.com/sarahcat21
Shin Iwata,VC - Small fund,Japan,"Enterprise, Social, E-Commerce, Mobile, Consumer","Seed, Series A",https://www.linkedin.com/in/siwata,
Shruti Gandhi,VC - Small fund,United States,"Healthcare, Mobile, Big Data, Marketplace, Enterprise, AI/ML, Finance","Seed, Series A",https://www.linkedin.com/in/shrutigandhi/,https://twitter.com/atShruti
SITAR TELI,VC - Small fund,United Kingdom,"Transportation, Media, SaaS, Travel, Finance, E-Commerce, Mobile","Seed, Series A",https://www.linkedin.com/in/sitar/,https://twitter.com/sitar
Somak Chattopadhyay,VC - Small fund,United States,"Marketplace, Life Sci., Food & Drink, Healthcare, Automotive, Mobile, Gaming","Seed, Series A",https://www.linkedin.com/in/somak-chattopadhyay-7662a/,https://twitter.com/somakc
Spencer Bogart,VC - Small fund,United States,"Finance, Blockchain","Seed, Series A",https://www.linkedin.com/in/spencer-bogart-cfa-bba645a/,
Staffan Helgesson,VC - Small fund,Sweden,"SaaS, Enterprise, Finance, Mobile, Big Data","Seed, Series A",,https://twitter.com/shelgesson
STEVE ANDERSON,VC - Small fund,United States,"Social, Enterprise, SaaS, Mobile, E-Commerce, Consumer","Seed, Series A",https://www.linkedin.com/in/steveatbaseline/,https://twitter.com/standers
Steve Gillis,VC - Small fund,United States,"Healthcare, Life Sci.","Seed, Series A",https://www.linkedin.com/in/steve-gillis-8296158/,
Stuart Larkins,VC - Small fund,United States,"Healthcare, Retail, SaaS, Enterprise, E-Commerce, Marketplace, Finance","Seed, Series A",https://www.linkedin.com/in/stuartlarkins/,https://twitter.com/stuartlarkins
Stuart Peterson,VC - Small fund,United States,"Big Data, Life Sci., Energy, Social, Mobile, Healthcare, SaaS","Seed, Series A",https://www.linkedin.com/in/petersonstuart/,
TED WANG,VC - Small fund,United States,"Retail, Finance, E-Commerce, Enterprise, Mobile, Social, Consumer","Seed, Series A",https://www.linkedin.com/in/tedwang/,https://twitter.com/twang
Thomas Jones,VC - Small fund,United Kingdom,"Travel, Finance, AI/ML, SaaS, Mobile, Enterprise, Social","Seed, Series A",https://www.linkedin.com/in/tjamesjones/,
THOMAS LUEKE,VC - Small fund,Germany,"Energy, Healthcare, Social, Marketplace, Mobile, E-Commerce, Finance","Seed, Series A",https://www.linkedin.com/in/tlueke/,
Tim Bunting,VC - Small fund,United Kingdom,"Finance, Media, AI/ML, SaaS, E-Commerce, Enterprise, Mobile","Seed, Series A",https://www.linkedin.com/in/tim-bunting-92756945/,
Tim Smith,VC - Small fund,United States,"Security, Consumer, Enterprise","Seed, Series A",https://www.linkedin.com/in/timsmith/,
Tina Cheng,VC - Small fund,Taiwan,"Healthcare, AI/ML, Mobile, Enterprise, Social, E-Commerce, Consumer","Seed, Series A",https://www.linkedin.com/in/tina-cheng-76520a2/,
Tony Ross,VC - Small fund,United Kingdom,"AI/ML, Energy, Real Estate, Retail, E-Commerce, Enterprise, Travel","Seed, Series A",,
Tony Surtees,VC - Small fund,Australia,"Media, AI/ML, Life Sci., Healthcare, Social","Seed, Series A",https://www.linkedin.com/in/tonysurtees/,
Trevor Kienzle,VC - Small fund,United States,"Social, SaaS, Enterprise, Mobile, Healthcare, E-Commerce, Big Data","Seed, Series A",https://www.linkedin.com/in/trevor-kienzle-477a3/,https://twitter.com/trevorkienzle
Troy Carter,VC - Small fund,United States,"AI/ML, Healthcare, Enterprise, Media, Education, Social, Retail","Seed, Series A",https://www.linkedin.com/in/troy-carter-20928774/,
Vasu Kulkarni,VC - Small fund,United States,"Enterprise, AR/VR, Mobile, Sports, Consumer, Social, Gaming","Seed, Series A",https://www.linkedin.com/in/vasudevkulkarni/,https://twitter.com/vasu
Vignesh Nandakumar,VC - Small fund,India,"Gaming, Government, Consumer, Transportation, Mobile, Education, Social","Seed, Series A",https://www.linkedin.com/in/vignesh-nandakumar/,
Vijay Pande,VC - Small fund,United States,"Social, Finance, E-Commerce, Mobile, Enterprise, SaaS, Big Data","Seed, Series A",https://www.linkedin.com/in/vijay-pande-4b53342/,https://twitter.com/vijaypande
Villi Iltchev,VC - Small fund,United States,"Finance, SaaS, Social, Big Data, E-Commerce, Mobile, Enterprise","Seed, Series A",https://www.linkedin.com/in/villi04/,
Vineet Rai,VC - Small fund,India,"Retail, E-Commerce, Food & Drink, Healthcare, Energy, Social, Government","Seed, Series A",https://www.linkedin.com/in/vineet-rai-536160/,
Viraj Tipnis,VC - Small fund,United States,"Finance, Enterprise, Big Data, E-Commerce, Social, SaaS, Mobile","Seed, Series A",https://www.linkedin.com/in/virajtipnis/,
Wende Hutton,VC - Small fund,United States,"Mobile, E-Commerce, Life Sci., Healthcare, Enterprise, Consumer","Seed, Series A",https://www.linkedin.com/in/wende-hutton-a70a812/,https://twitter.com/WendeHutton
William D. Lese,VC - Small fund,United States,"Hardware, Healthcare, Life Sci., Clean Tech, Energy","Seed, Series A",,
Wretch Chien,VC - Small fund,United States,"Life Sci., Healthcare, SaaS, E-Commerce, Enterprise, Big Data, AI/ML","Seed, Series A",https://www.linkedin.com/in/wretchchien/,https://twitter.com/wretchchien
Yashwanth Hemaraj,VC - Small fund,United States,"E-Commerce, Big Data, Energy, Consumer, Security, Mobile, Enterprise","Seed, Series A",https://www.linkedin.com/in/yhemaraj/,
Alessio Fanelli,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/fanahova
Alfonso Subiotto,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/asubiotto
Beyang Liu,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/beyang
Brian Douglas,Angel,,Developer Tools,"Pre-Seed, Seed",,
Brian Lovin,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/brian_lovin
Brianne Kimmel,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/briannekimmel
Bukky Adebayo,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/bukkyadebayo
Cassidy Williams,Angel,,Developer Tools,"Pre-Seed, Seed",https://linkedin.com/in/cassidoo,https://twitter.com/cassidoo
Chang Xu,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/_changxu
Charlie Marsh,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/charliermarsh
Christina Cordova,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/cjc
David Mytton,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/davidmytton
David Yang,Angel,,Developer Tools,"Pre-Seed, Seed",,
Desigan Chinniah,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/cyberdees
Dion Almaer,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/dalmaer/
Ekene Eze,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/kenny_io
Ellen Chisa,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/ellenchisa/
Eugene Yan,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/eugeneyan
Gyan Kapur,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/KapurGyan
Ilya Lyamkin,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/ilyamkin
Ivan Burazin,Angel,,Developer Tools,"Pre-Seed, Seed",https://linkedin.com/in/ivanburazin,https://twitter.com/ivanburazin
Kaelig Deloumeau,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/kaelig
Kareem Kouddous,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/kareemk
Kenneth Auchenberg,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/auchenberg
Luke Michael Byrne,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/byrnemluke
Manuel Weiss,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/manualwise/
Max Stoiber,Angel,,Developer Tools,"Pre-Seed, Seed",,
Michael Grinich,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/grinich/status/1357103620613840898?s=20
Michael Rybintsev,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/alanmynah
Moritz Plassnig,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/moritzplassnig
Patrick Thompson,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/patrickt010
Sankalp Agarwal,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/shanky0o
Shinji Kim & Jack McCloy,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/shinjikim
Stephanie Friedman,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/she_travels
swyx,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/swyx
Thomas Cuvelier,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/TCuvelie
Thomas Schranz,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/__tosh
Tigran Hakobyan,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/tiggreen
Tracy Lee,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/ladyleet
Zeno Rocha,Angel,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/zenorocha
Adi Singh,Angel,,"AI/ML, Developer Tools","Pre-Seed, Seed",https://www.linkedin.com/in/adivirsingh13/,https://twitter.com/adi_singh133
Akshay Mehra,Angel,,Fintech,"Pre-Seed, Seed",https://www.linkedin.com/in/akshay-mehra-7989312b/,https://twitter.com/akshay__mehra
Alex Huckstepp,Angel,,Technology,"Pre-Seed, Seed",https://www.linkedin.com/in/alex-huckstepp/,https://twitter.com/alexhuckstepp
Alex Klein,VC - Small fund,,Technology,"Pre-Seed, Seed",https://www.linkedin.com/in/alexklein1,https://twitter.com/alexklein0x
Allen Wang,Angel,,AI/ML,"Pre-Seed, Seed",https://linkedin.com/in/allen-wang-1b82761b8,https://twitter.com/allenwangzian
Ariana Thacker,Angel,,Developer Tools,"Pre-Seed, Seed",https://www.linkedin.com/in/arianadthacker/,https://twitter.com/m0ldilocks
Atif,VC - Small fund,,Technology,"Pre-Seed, Seed",,https://twitter.com/atifthedreamer
Ben Fletcher,VC - Small fund,,Developer Tools,"Pre-Seed, Seed",https://www.linkedin.com/in/bfletch11/,https://twitter.com/benfletch11
Brandes Woodall,VC - Small fund,,Developer Tools,"Pre-Seed, Seed",https://linkedin.com/in/brandes-woodall-b124731b9,https://twitter.com/brandeswoodall
Britton Langdon,Angel,,AI/ML,"Pre-Seed, Seed",https://www.linkedin.com/in/britton-langdon,https://twitter.com/brittonlangdon
Connor Sweeney,Angel,,Technology,"Pre-Seed, Seed",https://www.linkedin.com/in/connorjsweeney,https://twitter.com/_connorsweeney
Deepak Subramanian,Angel,,"AI/ML, SaaS, Healthcare","Pre-Seed, Seed",https://linkedin.com/in/deepak-subramanian-uiuc,https://twitter.com/itz_deepak_dpk
Dhyay Bhatt,Angel,,AI/ML,"Pre-Seed, Seed",https://linkedin.com/in/dhyay-bhatt-88a50870,https://twitter.com/dhyay777
Dris Elamri,Angel,,Technology,Growth,https://linkedin.com/in/driselamri,https://twitter.com/driselamri
Ephraim Monk,VC - Small fund,,Technology,"Pre-Seed, Seed",,https://twitter.com/realmerrymonk
GosuCoder,Angel,,AI/ML,"Pre-Seed, Seed",,https://twitter.com/gosucoder
Grant Aarons,Angel,,Healthcare,"Pre-Seed, Seed",https://uk.linkedin.com/in/grantaarons,https://twitter.com/gaarons
insights_hunter,Angel,,"AI/ML, Consumer","Pre-Seed, Seed",,https://twitter.com/sushensharma111
Ivan Makarov,Angel,,"AI/ML, SaaS","Pre-Seed, Seed",https://www.linkedin.com/in/ivan-makarov/,https://twitter.com/ivan_mkrv
Jae Yang,Angel,,AI/ML,"Pre-Seed, Seed",,https://twitter.com/true_jae_yang
Joe Quenqua,VC - Small fund,,AI/ML,"Pre-Seed, Seed",https://linkedin.com/in/joe-quenqua-a48aa268,https://twitter.com/jquenqua
Joey Rockets,VC - Small fund,,Technology,"Pre-Seed, Seed",,https://twitter.com/joeysolitro
John Serafini,Angel,,"Developer Tools, Data","Pre-Seed, Seed",https://www.linkedin.com/in/john-serafini-950793a,https://twitter.com/hawkeye360ceo
Julius Python 🍇,VC - Small fund,,AI/ML,"Pre-Seed, Seed",,https://twitter.com/juliuspython
Justin Lee,Angel,,"SaaS, Healthcare","Pre-Seed, Seed",https://linkedin.com/in/justin1ee,https://twitter.com/justin01805921
Lucas Krump,Angel,,Technology,Growth,https://www.linkedin.com/in/lucaskrump/,https://twitter.com/lwkrump
Lucca Ruggieri,Angel,,AI/ML,"Pre-Seed, Seed",https://www.linkedin.com/in/lucca-ruggieri-a00bb018b,https://twitter.com/lucca_ruggieri
Marie Schildt,VC - Small fund,,"AI/ML, Developer Tools","Pre-Seed, Seed",https://www.linkedin.com/in/marie-schildt,https://twitter.com/schildtmarie
Marwan Refaat,Angel,,"AI/ML, Developer Tools","Pre-Seed, Seed",https://www.linkedin.com/in/marwanrefaat/,https://twitter.com/marwanrefaat
Matthieu Schulz,Angel,,AI/ML,"Pre-Seed, Seed",https://linkedin.com/in/matthieuschulz,https://twitter.com/matthieuschulz
Matvey Kukuy,Angel,,Technology,"Pre-Seed, Seed",https://www.linkedin.com/in/motakuk/,https://twitter.com/mkukkk
Max Keenan,Angel,,Fintech,"Pre-Seed, Seed",https://www.linkedin.com/in/max-keenan-4a577a137/,https://twitter.com/maxkeenan3
Nicolas Kopp,Angel,,Technology,"Pre-Seed, Seed",https://www.linkedin.com/in/nicolas-kopp/,https://twitter.com/nicckopp
nicolò boggian,Angel,,AI/ML,"Pre-Seed, Seed",https://www.linkedin.com/in/nicolò-boggian-a645434/,https://twitter.com/nboggian
nischal jain,Angel,,"AI/ML, Fintech","Pre-Seed, Seed",https://linkedin.com/in/nischalj10,https://twitter.com/nischalj10
Paola Peraza,Angel,,Technology,Growth,https://linkedin.com/in/paola-peraza-calderon,https://twitter.com/paolapal00za
Paul J. McCain,Angel,,Technology,"Pre-Seed, Seed",https://www.linkedin.com/in/pauljmccain,https://twitter.com/pauljmccain
Pennie Li,Angel,,Technology,"Pre-Seed, Seed",https://linkedin.com/in/pennieli,https://twitter.com/pennepastaa
Rafael Garcia,Angel,,Technology,"Pre-Seed, Seed",https://www.linkedin.com/in/rafgarcia/,https://twitter.com/rfgarcia
Razing Plato,VC - Small fund,,Technology,"Pre-Seed, Seed",,https://twitter.com/razingplato06
sarick.ip,Angel,,"AI/ML, Fintech","Pre-Seed, Seed",,https://twitter.com/sarickshah
Serena Yan,VC - Small fund,,Developer Tools,"Pre-Seed, Seed",,https://twitter.com/ysl_serena
Si Zhang,Angel,,Consumer,"Pre-Seed, Seed",,https://twitter.com/ronghanzhang
Sophisticated Investor,VC - Small fund,,"AI/ML, Fintech","Pre-Seed, Seed",,https://twitter.com/ickmaster
Stella Mittelweg,VC - Small fund,,AI/ML,"Pre-Seed, Seed",,https://twitter.com/stellamittelweg
Stochy,Angel,,"AI/ML, Fintech","Pre-Seed, Seed",,https://twitter.com/stochasticghost
Taha Biyikli,Angel,,Security,"Pre-Seed, Seed",https://www.linkedin.com/in/tahabiyikli/,https://twitter.com/tahabiyikli
Tanmay 🤓,Angel,,AI/ML,"Pre-Seed, Seed",https://uk.linkedin.com/in/tanmay-jain-4a516083,https://twitter.com/tanmay_jain_
TheValueist,VC - Small fund,,"Fintech, Climate/Energy","Pre-Seed, Seed",,https://twitter.com/thevalueist
Thor Clark,Angel,,Healthcare,"Pre-Seed, Seed",https://linkedin.com/in/thorclark,https://twitter.com/thorclark
